,card_name,card_img_url,series,ext_code,ext_name
64,#65 - Roxanne,https://den-cards.pokellector.com/339/Roxanne.S9A.65.43142.thumb.png,Sword & Shield Series,S9A,Battle Region Set
65,#66 - Kamado,https://den-cards.pokellector.com/339/Kamado.S9A.66.42891.thumb.png,Sword & Shield Series,S9A,Battle Region Set
66,#67 - Jubilife Village,https://den-cards.pokellector.com/339/Jubilife-Village.S9A.67.43143.thumb.png,Sword & Shield Series,S9A,Battle Region Set
67,#68 - Roserade,https://den-cards.pokellector.com/339/Roserade.S9A.68.43204.thumb.png,Sword & Shield Series,S9A,Battle Region Set
68,#69 - Chandelure,https://den-cards.pokellector.com/339/Chandelure.S9A.69.42882.thumb.png,Sword & Shield Series,S9A,Battle Region Set
69,#70 - Wyrdeer,https://den-cards.pokellector.com/339/Wyrdeer.S9A.70.42880.thumb.png,Sword & Shield Series,S9A,Battle Region Set
70,#71 - Kleavor,https://den-cards.pokellector.com/339/Kleavor.S9A.71.42881.thumb.png,Sword & Shield Series,S9A,Battle Region Set
71,#72 - Mightyeena,https://den-cards.pokellector.com/339/Mightyeena.S9A.72.43205.thumb.png,Sword & Shield Series,S9A,Battle Region Set
72,#73 - Hoothoot,https://den-cards.pokellector.com/339/Hoothoot.S9A.73.43206.thumb.png,Sword & Shield Series,S9A,Battle Region Set
73,#74 - Virizion V,https://den-cards.pokellector.com/339/Virizion-V.S9A.74.43207.thumb.png,Sword & Shield Series,S9A,Battle Region Set
74,#75 - Starmie V,https://den-cards.pokellector.com/339/Starmie-V.S9A.75.43208.thumb.png,Sword & Shield Series,S9A,Battle Region Set
75,#76 - Hisuian Typhlosion V,https://den-cards.pokellector.com/339/Hisuian-Typhlosion-V.S9A.76.43209.thumb.png,Sword & Shield Series,S9A,Battle Region Set
76,#77 - Hisuian Decidueye V,https://den-cards.pokellector.com/339/Hisuian-Decidueye-V.S9A.77.43210.thumb.png,Sword & Shield Series,S9A,Battle Region Set
77,#78 - Hisuian Samurott V,https://den-cards.pokellector.com/339/Hisuian-Samurott-V.S9A.78.43211.thumb.png,Sword & Shield Series,S9A,Battle Region Set
78,#79 - Garchomp V,https://den-cards.pokellector.com/339/Garchomp-V.S9A.79.43212.thumb.png,Sword & Shield Series,S9A,Battle Region Set
79,#80 - Cyllene,https://den-cards.pokellector.com/339/Cyllene.S9A.80.43213.thumb.png,Sword & Shield Series,S9A,Battle Region Set
80,#81 - Roxanne,https://den-cards.pokellector.com/339/Roxanne.S9A.81.43214.thumb.png,Sword & Shield Series,S9A,Battle Region Set
81,#82 - Kamado,https://den-cards.pokellector.com/339/Kamado.S9A.82.43215.thumb.png,Sword & Shield Series,S9A,Battle Region Set
82,#83 - Starmie V,https://den-cards.pokellector.com/339/Starmie-V.S9A.83.42879.thumb.png,Sword & Shield Series,S9A,Battle Region Set
83,#84 - Garchomp V,https://den-cards.pokellector.com/339/Garchomp-V.S9A.84.42878.thumb.png,Sword & Shield Series,S9A,Battle Region Set
84,#85 - Hisuian Typhlosion VSTAR,https://den-cards.pokellector.com/339/Hisuian-Typhlosion-VSTAR.S9A.85.43216.thumb.png,Sword & Shield Series,S9A,Battle Region Set
85,#86 - Hisuian Decidueye VSTAR,https://den-cards.pokellector.com/339/Hisuian-Decidueye-VSTAR.S9A.86.43217.thumb.png,Sword & Shield Series,S9A,Battle Region Set
86,#87 - Hisuian Samurott VSTAR,https://den-cards.pokellector.com/339/Hisuian-Samurott-VSTAR.S9A.87.43218.thumb.png,Sword & Shield Series,S9A,Battle Region Set
87,#88 - Cyllene,https://den-cards.pokellector.com/339/Cyllene.S9A.88.43219.thumb.png,Sword & Shield Series,S9A,Battle Region Set
88,#89 - Roxanne,https://den-cards.pokellector.com/339/Roxanne.S9A.89.43220.thumb.png,Sword & Shield Series,S9A,Battle Region Set
89,#90 - Kamado,https://den-cards.pokellector.com/339/Kamado.S9A.90.43221.thumb.png,Sword & Shield Series,S9A,Battle Region Set
90,#91 - Hisuian Samurott VSTAR,https://den-cards.pokellector.com/339/Hisuian-Samurott-VSTAR.S9A.91.43222.thumb.png,Sword & Shield Series,S9A,Battle Region Set
91,#92 - Choice Belt,https://den-cards.pokellector.com/339/Choice-Belt.S9A.92.43223.thumb.png,Sword & Shield Series,S9A,Battle Region Set
92,#93 - Jubilife Village,https://den-cards.pokellector.com/339/Jubilife-Village.S9A.93.43224.thumb.png,Sword & Shield Series,S9A,Battle Region Set
