,Unnamed: 0,serieName,extensionCode,extensionUrl,extensionName,extensionImageUrl,extensionReleaseDate,extensionCardNumber
121,121,Black & White Series,BW1,https://jp.pokellector.com/sets/BW1-White-Collection,White Collection Set,https://den-media.pokellector.com/logos/White-Collection.logo.15.png,2010-12-17,55
122,122,Black & White Series,BW1,https://jp.pokellector.com/sets/BW1-Black-Collection,Black Collection Set,https://den-media.pokellector.com/logos/Black-Collection.logo.14.png,2010-12-17,55
123,123,Black & White Promos Series,MG,https://jp.pokellector.com/sets/MG-Mewtwo-Vs-Genesect-Genesect,Mewtwo Vs Genesect: Genesect Set,https://den-media.pokellector.com/logos/Mewtwo-Vs-Genesect-Genesect.logo.145.png,2013-07-13,16
124,124,Black & White Promos Series,MG,https://jp.pokellector.com/sets/MG-Mewtwo-Vs-Genesect-Mewtwo,Mewtwo Vs Genesect: Mewtwo Set,https://den-media.pokellector.com/logos/Mewtwo-Vs-Genesect-Mewtwo.logo.144.png,2013-07-13,16
125,125,Black & White Promos Series,KK,https://jp.pokellector.com/sets/KK-Blastoise-Kyurem-Combo-Deck,Blastoise & Kyurem Combo Deck Set,https://den-media.pokellector.com/logos/Blastoise-Kyurem-Combo-Deck.logo.126.png,2013-03-15,18
126,126,Black & White Promos Series,SC,https://jp.pokellector.com/sets/SC-Shiny-Collection,Shiny Collection Set,https://den-media.pokellector.com/logos/Shiny-Collection.logo.32.png,2013-02-01,20
127,127,Black & White Promos Series,WAK,https://jp.pokellector.com/sets/WAK-Exciting-Battle-for-Everyone,Exciting Battle for Everyone Set,https://den-media.pokellector.com/logos/Exciting-Battle-for-Everyone.logo.30.png,2012-11-16,47
128,128,Black & White Promos Series,PBG,https://jp.pokellector.com/sets/PBG-Team-Plasma-Battle-Gift-Set,Team Plasma Battle Gift Set Set,https://den-media.pokellector.com/logos/Team-Plasma-Battle-Gift-Set.logo.31.png,2012-11-16,16
129,129,Black & White Promos Series,KLD,https://jp.pokellector.com/sets/KLD-Keldeo-Battle-Strength-Deck,Keldeo Battle Strength Deck Set,https://den-media.pokellector.com/logos/Keldeo-Battle-Strength-Deck.logo.133.png,2012-04-20,18
130,130,Black & White Promos Series,GBR,https://jp.pokellector.com/sets/GBR-Garchomp-Half-Deck,Garchomp Half Deck Set,https://den-media.pokellector.com/logos/Garchomp-Half-Deck.logo.134.png,2012-03-16,18
131,131,Black & White Promos Series,SZD,https://jp.pokellector.com/sets/SZD-Hydreigon-Half-Deck,Hydreigon Half Deck Set,https://den-media.pokellector.com/logos/Hydreigon-Half-Deck.logo.135.png,2012-03-16,18
132,132,Black & White Promos Series,DS,https://jp.pokellector.com/sets/DS-Dragon-Selection,Dragon Selection Set,https://den-media.pokellector.com/logos/Dragon-Selection.logo.16.png,2012-01-27,20
133,133,Black & White Promos Series,BWP,https://jp.pokellector.com/sets/BWP-Black-White-Promos,Black & White Promos Set,https://den-media.pokellector.com/logos/Black-White-Promos.logo.25.png,2010-12-17,197
134,134,Legend Series,L3,https://jp.pokellector.com/sets/L3-Clash-at-the-Summit,Clash at the Summit Set,https://den-media.pokellector.com/logos/Clash-at-the-Summit.logo.250.png,2010-07-08,80
135,135,Legend Series,L2,https://jp.pokellector.com/sets/L2-Reviving-Legends,Reviving Legends Set,https://den-media.pokellector.com/logos/Reviving-Legends.logo.249.png,2010-02-11,80
136,136,Legend Series,L1HG,https://jp.pokellector.com/sets/L1HG-HeartGold-Collection,HeartGold Collection Set,https://den-media.pokellector.com/logos/HeartGold-Collection.logo.247.png,2009-10-09,70
137,137,Legend Series,L1SS,https://jp.pokellector.com/sets/L1SS-SoulSilver-Collection,SoulSilver Collection Set,https://den-media.pokellector.com/logos/SoulSilver-Collection.logo.248.png,2009-10-09,70
138,138,Legend Series,LL,https://jp.pokellector.com/sets/LL-Lost-Link,Lost Link Set,https://den-media.pokellector.com/logos/Lost-Link.logo.251.png,2010-01-01,40
